row_id,Paragraph_ID,Paragraph,Gold Annotation
87,P11PR2,To determine if the presence of adverse pathologic features at RP in patients eligible for AS is prognostic of poor oncologic outcome independent of pretreatment risk status.,"[{'e1': ' adverse pathologic features', 'e2': 'poor oncologic outcome independent of pretreatment risk status', 'relation': 'is prognostic of', 'condition': 'at RP in patients eligible for AS'}]"
88,P11PR3,"A total of 2660 patients underwent immediate RP at our institution between 1998 and 2008. Patients were stratified as low, intermediate, or high risk according to the D’Amico clinical risk criteria.","[{'e1': '2660 patients ', 'e2': 'immediate RP ', 'relation': 'underwent ', 'condition': 'at our institution between 1998 and 2008'}]"
89,P11PR7,The risk of biochemical recurrence associated with adverse patho- logic findings at prostatectomy is reduced by approximately 50% in men with clinically low-risk prostate cancer.,"[{'e1': ' risk of biochemical recurrence ', 'e2': 'adverse pathologic findings', 'relation': 'associated with ', 'condition': ' at prostatectomy'}, {'e1': 'The risk of biochemical recurrence', 'e2': 'approximately 50% ', 'relation': ' is reduced by ', 'condition': 'in men with clinically low-risk prostate cancer.'}]"
90,P11PR8,"Widespread use of prostate-specific antigen (PSA) as a primary screening tool for prostate cancer (PCa) has led to the increased detection of clinically insignificant tumors. It is estimated that up to 60% of men diagnosed by PSA screening have low-risk PCa. Such interventions carry a non-negligible risk of urinary and sexual dysfunction that can adversely affect a man’s quality of life., yet most of these men undergo invasive treatment involving surgery or radiotherapy","[{'e1': '60% of men diagnosed', 'e2': 'low-risk PCa', 'relation': ' have ', 'condition': 'by PSA screening '}]"
91,P11PR9,"It is estimated that up to 60% of men diagnosed by PSA screening have low-risk PCa, yet most of these men undergo invasive treatment involving surgery or radiotherapy.","[{'e1': '60% of men diagnosed', 'e2': 'low-risk PCa', 'relation': ' have ', 'condition': 'by PSA screening '}]"
92,P121P1,"Cancer stem cells (CSCs) correlate with recurrence, metastasis and poor survival in clinical studies. Encouraging results from clinical trials of CSC inhibitors have further validated CSCs as therapeutic targets. ONC201 is a first-in-class small molecule imipridone in Phase I/II clinical trials for advanced cancer. We have previously shown that ONC201 targets self-renewing, chemotherapy-resistant colorectal CSCs via Akt/ERK inhibition and DR5/TRAIL induction. In this study, we demonstrate that the anti-CSC effects of ONC201 involve early changes in stem cell-related gene expression prior to tumor cell death induction. A targeted network analysis of gene expression profiles in colorectal cancer cells revealed that ONC201 downregulates stem cell pathways such as Wnt signaling and modulates genes ID1, ID2, ID3 and ALDH7A1 known to regulate self-renewal in colorectal, prostate cancer and glioblastoma. ONC201-mediated changes in CSC-related gene expression were validated at the RNA and protein level for each tumor type. Accordingly, we observed inhibition of self-renewal and CSC markers in prostate cancer cell lines and patient-derived glioblastoma cells upon ONC201 treatment. Interestingly, ONC201-mediated CSC depletion does not occur in colorectal cancer cells with acquired resistance to ONC201. Finally, we observed that basal expression of CSC-related genes ID1, CD44, HES7 and TCF3 significantly correlate with ONC201 efficacy in over 1000 cancer cell lines and combining the expression of multiple genes leads to a stronger overall prediction. These proof-of-concept studies provide a rationale for testing CSC expression at the RNA and protein level as a predictive and pharmacodynamic biomarker of ONC201 response in ongoing clinical studies.","[{'e1': 'Cancer stem cells (CSCs) ', 'e2': 'recurrence ', 'relation': 'correlate with ', 'condition': 'in clinical studies'}, {'e1': 'Cancer stem cells (CSCs) ', 'e2': 'metastasis ', 'relation': 'correlate with ', 'condition': 'in clinical studies'}, {'e1': 'Cancer stem cells (CSCs) ', 'e2': 'poor survival ', 'relation': 'correlate with ', 'condition': 'in clinical studies'}, {'e1': ' the anti-CSC effects of ONC201 ', 'e2': 'early changes in stem cell-related gene expression ', 'relation': 'involve ', 'condition': 'prior to tumor cell death induction'}, {'e1': ' basal expression of CSC-related genes ID1, CD44, HES7 and TCF3 ', 'e2': 'ONC201 efficacy ', 'relation': 'significantly correlate with ', 'condition': 'in over 1000 cancer cell lines'}]"
93,P121P2,"Several clinical studies have demonstrated the relevance of cancer stem cells (CSCs) that clearly correlate with recurrence, metastasis and poor survival in solid tumors. Recent objective responses observed in Phase I/II clinical trials of various CSC-targeted agents in a number of advanced refractory solid tumors have further established the importance of CSCs as a therapeutic target.","[{'e1': 'cancer stem cells (CSCs)', 'e2': 'recurrence', 'relation': ' correlate with ', 'condition': 'in solid tumors'}, {'e1': 'cancer stem cells (CSCs)', 'e2': 'metastasis ', 'relation': ' correlate with ', 'condition': 'in solid tumors'}, {'e1': 'cancer stem cells (CSCs)', 'e2': 'poor survival ', 'relation': ' correlate with ', 'condition': 'in solid tumors'}]"
94,P121P4,"We have previously demonstrated the anti-CSC efficacy of ONC201 in vitro using established CSC markers, sphere cultures and in vivo using limiting dilution studies in colorectal cancer. Additionally, ONC201-mediated inhibition of leukemic stem cells has been confirmed in vivo. Depletion of chemotherapy-resistant colorectal CSCs by ONC201 involves an Akt-ERK-Foxo3-DR5-TRAIL-dependent mechanism of inhibition of self-renewal and cell death induction. However, it was unclear whether ONC201 depletion of CSCs is a consequence of cell death or involves specific effects on stem-cell related genes that precede inhibition of self-renewal and cell death. In this study, we show that ONC201 specifically impacts stem cell-related transcription at time points (18 and 48 h) that precede cell death which occurs 60–72 h post treatment in solid tumor cells. These early effects on stem-cell related transcription are followed by inhibition of CSC markers and self-renewal by ONC201 at 60–72 h.","[{'e1': ' ONC201 ', 'e2': 'stem cell-related transcription', 'relation': 'specifically impacts ', 'condition': ' at time points (18 and 48 h)'}]"
95,P121P5,"ONC201 attenuates diverse CSC markers such as CD44, CD133, ABCB5, ALDH1A1, ALDH7A1, NANOG, ID1, ID2, ID3 and self-renewal signaling pathways such as Wnt, Notch and Hedgehog that drive tumor initiation, therapy resistance and metastasis across various tumor types providing an opportunity for broad-spectrum anti-CSC and anti-cancer effects. The ability to target established mechanisms of CSC chemotherapy resistance such as ABCB5 is consistent with previously demonstrated ONC201 efficacy in 5-Fluorouracil resistant colorectal CSC models. Gene expression profiles in colorectal cancer cells revealed ONC201 targets CSC genes involved in prostate cancer and glioblastoma. Accordingly, ONC201 mediated inhibition of self-renewal in solid tumors was confirmed in prostate cancer cell lines and glioblastoma patient derived cells. This study provides further evidence of the broad spectrum anti-cancer efficacy of ONC201 and serves as a rationale for the ongoing single agent Phase I/II trials of ONC201 in advanced refractory solid tumors including prostate cancer and glioblastoma. Drugs targeting differentiated bulk tumor cells alone are typically associated with early clinical responses that may or may not be durable. In contrast, CSC-targeting agents are likely to achieve delayed but durable responses. ONC201’s ability to target CSCs provides an opportunity to potentially achieve durable responses in patients with advanced therapy resistant disease, especially in high unmet need indications such as recurrent glioblastoma. Additionally, approved chemotherapies or targeted agents with anti-proliferative effects that do not target CSCs could be combined with ONC201 to provide rapid de-bulking and durable clinical benefit. These results also indicate that ONC201 could be used in the adjuvant/preventative setting for cancer recurrence and metastasis prevention.","[{'e1': ' ONC201’s ability to target CSCs ', 'e2': 'an opportunity to potentially achieve durable responses ', 'relation': 'provides ', 'condition': 'in patients with advanced therapy resistant disease'}]"
96,P121P6,"To allow clinical translation of our results, we show that CSC-related gene expression can serve as a potential biomarker of ONC201 response. To demonstrate utility as a pharmacodynamic biomarker, cells with acquired resistance to ONC201 previously generated in our lab were used. ONC201 mediated CSC inhibition occurs in sensitive but not in cancer cells with acquired resistance, as confirmed by sphere formation, gene expression and protein levels of established CSC markers. To demonstrate utility as a predictive biomarker, we used the GDSC panel of cancer cell lines. Interestingly, baseline expression of CSC-related genes including high basal Wnt signaling predicted ONC201 anti-cancer efficacy in over 1000 cancer cell lines. Thus, correlative studies testing CSC expression at the RNA and protein level using circulating tumor cells and biopsies from ongoing ONC201 clinical studies are warranted.","[{'e1': 'baseline expression of CSC-related genes ', 'e2': 'ONC201 anti-cancer efficacy', 'relation': 'predicted ', 'condition': ' in over 1000 cancer cell lines'}]"
97,P122P7,"Decisions regarding ART and SRT after RP are complex for patients and clinicians, since choices can be influenced by an individual's recurrence risk, medical comorbidities and personal preferences and values. A recent Markov decision analysis model considering length and quality of life for ART versus SRT showed that the preferred treatment strategy for an individual patient is dependent upon the specific probabilities for cancer recurrence, as defined based on a genomic risk classifier assay, as well as death from causes other than prostate cancer. Genomic predictors of prostate cancer outcomes are increasingly available for clinical use, including the Decipher genomic classifier (GC) test (GenomeDx Biosciences, San Diego, CA) that provides individual estimates of the risk of metastasis after RP and is intended to be used for decision- making regarding ART and SRT. Although the information provided by the GC test has been shown to influence the recommendations of clinicians for ART after prostatectomy, GC test results can be complex and it is not yet clear how patients and their families will incorporate the genomic- based risk estimates into treatment decisions.","[{'e1': 'the Decipher genomic classifier (GC) test ', 'e2': 'individual estimates of the risk of metastasis ', 'relation': 'provides ', 'condition': 'after RP'}, {'e1': ' the information provided by the GC test ', 'e2': 'influence the recommendations of clinicians for ART', 'relation': 'has been shown to ', 'condition': ' after prostatectomy'}]"
98,P123P3,"DNA methylation plays an important role in tumorigenesis and cancer progression. DNA hypermethylation is frequently observed in the promoter regions of tumor suppressor genes, leading to gene silencing, while genome-wide global hypomethylation events are common in human cancer, causing genomic instability. Global hypomethylation in peripheral blood leukocyte DNA has been associated with increased risk of various cancers. However, no study has evaluated the role of global leukocyte DNA methylation in the prognosis of localized PCa patients.","[{'e1': 'Global hypomethylation ', 'e2': ' increased risk of various cancers', 'relation': 'has been associated with', 'condition': 'in peripheral blood leukocyte DNA'}]"
99,P123P6,"The association between cancer risk and global DNA methylation has been investigated in both tumor tissues and peripheral blood. LINE-1 was the most commonly studied global methylation marker and has been previously shown to be hypomethylated in cancer tissues. In a systematic review of global DNA methylation in PCa compared with non-tumor prostate tissue, DNA methylation was found associated with PCa development and progression. Zhu et al. found that LINE-1 hypomethylation was associated with lung cancer prevalence, but not with prostate, colorectal or other cancers. A prior large nested case–control study used pyrosequencing to quantify DNA methylation levels at LINE-1 and Alu repetitive elements in pre-diagnostic blood samples from 694 PCa cases and 703 controls from the Prostate, Lung, Colorectal and Ovarian Cancer Screening Trial, and did not observe a significant association with PCa for overall LINE-1 or Alu methylation levels. A recent nested control study used the Illumina Infinium HM450K BeadChip to estimate genome-wide DNA methylation in leukocytes and did not find significant association between global DNA methylation and the risk of PCa or aggressive PCa. The current literature indicates that overall global methylation level in leukocytes may not be associated with the risk of PCa overall or aggressive PCa.","[{'e1': 'DNA methylation ', 'e2': ' PCa development and progression', 'relation': 'was found associated with', 'condition': 'In a systematic review of global DNA methylation in PCa compared with non-tumor prostate tissue'}]"
100,P123P7,"In contrast to previous studies that predominantly used LINE-1 or Alu repetitive sequences for global methylation analysis, we used relatively region-specific repetitive sequences, i.e. subtelomeric repeat D4Z4 and pericentromeric repeat NBL2. Previous studies have shown that the methylation level of tandem DNA repeats in these specific chromosome regions are different from those of LINE-1 and Alu sequences. A previous study even reported inter-locus and intra-locus heterogeneity in specific LINE-1 methylation sites among different cancers. There have been ample evidence supporting that these different repetitive sequences play distinct physiological and pathological roles through various mechanisms including methylation regulation and responses to cellular stress. It is therefore not surprising that we only found a significant association between subtelomeric repeat D4Z4 methylation and PCa prognosis. Subtelomeric regions are adjacent to telomere. Telomeres are protective structure at the chromosome ends that prevent the degradation of chromosome and unnecessary DNA repair activities and recombination. Subtelomeric regions are considered part of heterochromatic regions. The methylation changes of subtelomeric regions have been related to the development or human diseases. For example, subtelomeric DNA methylation at the end of Chr. 7q, 8q, 18p, 21q and XpYp was higher in glioma patients compared to control group. Similarly, hypermethylation of subtelomeric region of Chr.18p and 21q was found in hepatocarcinomas (HCCs) compared to their adjacent non-HCCs. The subtelomeric DNA methylation was also associated with telomere length in HCC. These observations were consistent with our finding that higher methylation of subtelomeric region D4Z4 was associated with worse prognosis of PCa patients, likely due to higher chromosome instability and weak DNA repair activity of patients with higher subtelomeric methylation.","[{'e1': 'The subtelomeric DNA methylation ', 'e2': 'telomere length ', 'relation': 'was also associated with ', 'condition': 'in HCC'}, {'e1': 'higher methylation of subtelomeric region D4Z4 ', 'e2': 'worse prognosis ', 'relation': 'was associated with ', 'condition': 'of PCa patients'}]"
101,P123P8,"The major strength of this study is the relatively large patient population who were clinically managed at a single institution with comprehensive clinical and follow-up data. We measured the methylation of two distinct repetitive sequences. The pyrosequencing technique we applied is robust and reproducible. There are a couple of limitations. We could only evaluate the association with BCR, not mortality, due to the rare death events of localized PCa patients that limited our statistical power. Therefore, it is unknown whether global methylations of these repetitive sequences are associated with PCa-specific mortality. We only measured one time methylation at diagnosis, not longitudinal changes of methylation level. A recent pilot study suggested that longitudinal changes of global methylation were associated with PCa incidence and overall cancer mortality. It would be valuable to investigate whether longitudinal changes of global methylation are associated with recurrence and prostate-specific mortality. Finally, we measured the overall methylation in mixed blood cells. Blood cell heterogeneity has been found to affect the DNA methylation measurements at specific locus. Previous studies have indicated that global DNA methylation is less likely to be affected by blood cell population as measured by pyrosequencing, but no study has specifically compared NBL2 and D4Z4 methylation level among different blood cell types. We cannot rule out that the differences in blood cell types may confound our observed association with BCR. Future study is warranted to analyze specific blood cell types.","[{'e1': 'Blood cell heterogeneity ', 'e2': 'the DNA methylation measurements ', 'relation': 'has been found to affect ', 'condition': 'at specific locus'}]"
102,P124P10,"In this study, our results showed that TRAF2 was significantly upregulated in prostate cancer. Upregulation of TRAF2 was also observed in metastatic prostate cancer compared with primary prostate cancer. In addition, TRAF2 was found to be an independent prognostic factor for predicting recurrence-free survival in patients with prostate cancer, which might be associated with the effects of TRAF2 on regulating TRAIL-induced apoptosis in prostate cancer cells via c-Flip/Caspase-8 signalling.","[{'e1': 'TRAF2 ', 'e2': 'an independent prognostic factor for predicting recurrence-free survival ', 'relation': 'was found to be ', 'condition': 'in patients with prostate cancer'}]"
103,P124P11,"The tumor necrosis factor receptor-associated factor 2 was originally identified as a signalling adaptor that bound to the cytoplasmic regions of receptors in the tumor necrosis factor receptor superfamily. It was documented that TRAF2 plays vital roles in regulating immunity response, embryonic development, and stress response. TRAF2 expression has been reported to be upregulated in breast cancer. Zhao et al. found that TRAF2 expression was upregulated in primary tumor and metastatic lymph nodes compared with normal breast tissues. Different biomarkers of prostate cancer have recently been identified. In the present study, we found that TRAF2 expression was significantly upregulated in prostate cancer. TRAF2 high expression was significantly associated with tumor stage and recurrence-free survival of prostate cancer patients. In addition, using GEO datasets, we also detected that TRAF2 expression was significantly increased in castration-resistant prostate cancer. Overall, the results of our study suggest that TRAF2 is a novel prognostic biomarker for predicting recurrence-free survival of prostate cancer patients, and might affect development and progression of prostate cancer. Considering the important roles of TRAF2 in cancers, our findings are reasonable and convincing.","[{'e1': 'TRAF2 high expression ', 'e2': 'tumor stage and recurrence-free survival ', 'relation': 'was significantly associated with ', 'condition': 'of prostate cancer patients'}, {'e1': 'TRAF2 ', 'e2': 'recurrence-free survival ', 'relation': 'is a novel prognostic biomarker for predicting ', 'condition': 'of prostate cancer patient'}]"
104,P124P12,"TRAIL is an important member of the tumor necrosis factor superfamily and plays vital roles in cancer immunosurveillance. We confirmed that TRAF2, as a valuable prognostic biomarker in prostate cancer patients, can regulate TRAIL-induced apoptosis in human prostate cancer cells. It has been documented that TRAIL affects the development and progression of cancer. The present results show that TRAF2 affects the development and progression of prostate cancer through regulating TRAIL-induced apoptosis in prostate cancer cells.","[{'e1': 'TRAF2 ', 'e2': 'TRAIL-induced apoptosis ', 'relation': 'can regulate ', 'condition': 'in human prostate cancer cells'}, {'e1': ' TRAF2 ', 'e2': 'the development and progression of prostate cancer ', 'relation': 'affects ', 'condition': 'through regulating TRAIL-induced apoptosis in prostate cancer cells.'}]"
105,P124P13,"It was reported that c-Flip/Caspase-8 signalling plays a vital role in regulating the extrinsic apoptosis pathway. Our results indicate that TRAF2 overexpression inhibits Caspase-8 activation in TRAIL-treated DU-145 cells, and TRAF2 overexpression upregulates c-Flip expression in TRAIL-treated DU-145 cells. Furthermore, TRAF2 knockdown in DU-145 cells shows consistent results. Hence, it is further confirmed that TRAF2 regulates TRAIL-induced apoptosis in TRAIL-treated human prostate cancer cells via c-Flip/Caspase-8 signalling.","[{'e1': ' TRAF2 overexpression ', 'e2': 'Caspase-8 activation ', 'relation': 'inhibits ', 'condition': 'in TRAIL-treated DU-145 cells'}, {'e1': 'TRAF2 overexpression', 'e2': 'c-Flip expression ', 'relation': ' upregulates ', 'condition': 'in TRAIL-treated DU-145 cells'}, {'e1': 'TRAF2 ', 'e2': ' TRAIL-induced apoptosis ', 'relation': 'regulates', 'condition': 'in TRAIL-treated human prostate cancer cells via c-Flip/Caspase-8 signalling.'}]"
106,P124P14,"The present study firstly shows that TRAF2 may be a valuable prognostic biomarker for predicting recurrence-free survival of prostate cancer patients, which might be associated with the effects of TRAF2 on regulating TRAIL-induced apoptosis in prostate cancer. In addition, we found that TRAF2 regulates TRAIL-induced apoptosis via c-Flip/Caspase-8 signalling in prostate cancer cells.","[{'e1': 'TRAF2 ', 'e2': ' recurrence-free survival ', 'relation': 'may be a valuable prognostic biomarker for predicting', 'condition': 'of prostate cancer patients'}, {'e1': 'TRAF2 ', 'e2': 'TRAIL-induced apoptosis ', 'relation': 'regulates ', 'condition': 'via c-Flip/Caspase-8 signalling in prostate cancer cells.'}]"
107,P124P3,"We found that TRAF2 was significantly upregulated in prostate cancer compared with normal prostate samples. In addition, compared with primary prostate cancer, TRAF2 was upregulated in metastatic prostate cancer. Furthermore, our results showed that high expression of TRAF2 was significantly associated with tumor stage of prostate cancer. TRAF2 high expression was associated with poorer recurrence-free survival in prostate cancer patients. TRAF2 was found to be a valuable independent prognostic factor for predicting recurrence-free survival. In addition, the present results indicate that TRAF2 affects TRAIL-induced apoptosis in prostate cancer DU-145 cells via regulating cleaved Caspase-8 and c-Flip expression.","[{'e1': ' TRAF2 high expression ', 'e2': 'poorer recurrence-free survival', 'relation': 'was associated with ', 'condition': ' in prostate cancer patients'}, {'e1': 'TRAF2 ', 'e2': 'a valuable independent prognostic factor ', 'relation': 'was found to be ', 'condition': 'for predicting recurrence-free survival'}, {'e1': 'TRAF2 ', 'e2': 'TRAIL-induced apoptosis ', 'relation': 'affects ', 'condition': 'in prostate cancer DU-145 cells via regulating cleaved Caspase-8 and c-Flip expression'}]"
108,P124P4,"TRAF2 could be a novel prognostic biomarker for predicting recurrence-free survival in patients with prostate cancer, which might be associated with the effects of TRAF2 in regulating TRAIL-induced apoptosis in prostate cancer cells via c-Flip/Caspase-8 signalling.","[{'e1': 'TRAF2 ', 'e2': 'recurrence-free survival ', 'relation': 'could be a novel prognostic biomarker for predicting ', 'condition': 'in patients with prostate cancer'}]"
109,P124P7,"Apoptosis, also known as programmed cell death, has been shown to be related to changes in cell morphology, including cell shrinkage, chromatin condensation, and nuclear fragmentation. Both extrinsic and intrinsic apoptosis pathways were extensively studied in past years. The intrinsic apoptosis pathway is activated by intracellular signals, mainly depending on the release of proteins from mitochondria. The extrinsic apoptosis pathway is activated by extracellular ligand binding to death receptor, which causes the formation of the death-inducing signalling complex. Exogenous TRAIL is shown to induce cancer cell death without killing normal cells in humans, which makes TRAIL a potential anticancer agent. TRAIL can bind to death receptor 4 or 5, which subsequently induces activation of Caspase-8 and initiates extrinsic apoptosis. Sedger et al. reported that endogenous TRAIL can suppress tumor growth in vivo. Endogenous TRAIL secreted by natural killer cells can effectively kill cancer cells in the liver after implantation of breast and renal cancer cells. Other studies also showed that TRAIL has vital roles in regulating tumor development and metastasis. It was reported that cellular FLICE-inhibitory protein, as a protease-dead Caspase-8 homologue, can suppress the activation of Caspase-8 and thereby inhibit Caspase-8-mediated apoptosis. It has been well documented that c-Flip/Caspase-8 signalling is important in regulating activation of extrinsic apoptosis pathways. The difference in the extent of Caspase-8 activation might be associated with the cell-to-cell variation in TRAIL responsiveness. In addition, various molecules have been found to regulate TRAIL-induced apoptosis in tumor cells.","[{'e1': ' Endogenous TRAIL secreted by natural killer cells ', 'e2': 'cancer cells ', 'relation': 'can effectively kill ', 'condition': 'in the liver after implantation of breast and renal cancer cells'}, {'e1': 'various molecules ', 'e2': 'TRAIL-induced apoptosis ', 'relation': 'have been found to regulate ', 'condition': 'in tumor cells.'}]"
110,P124P8,"The tumor necrosis factor receptor-associated factor 2, also known as a signalling adaptor, belongs to the TRAF superfamily, which consists of TRAF1 to 7 in mammals. One of these functions is to serve as an adaptor protein in the assembly of receptor-associated signalling complexes and to link upstream receptors to downstream molecules. TRAF2 is an important member of these TRAFs. Zhang et al. found that TRAF2 expression was significantly increased in gastric cancer patients, which might be an independent diagnostic and prognostic indicator in gastric cancer patients. In addition, TRAF2 expression was upregulated in malignant pleural effusion cells compared with normal breast tissues. TRAF2 in malignant pleural effusion cells might be a potential prognostic factor and biomarker for predicting invasion and metastasis of breast cancer. Currently, TRAF2 expression in prostate cancer and mechanisms governing the development and progression of prostate cancer are still unknown. We speculate that TRAF2 may affect growth of prostate cancer cells via regulating TRAIL-induced apoptosis.","[{'e1': ' TRAF2 ', 'e2': ' invasion and metastasis of breast cancer', 'relation': 'might be a potential prognostic factor and biomarker for predicting', 'condition': 'in malignant pleural effusion cells '}, {'e1': 'TRAF2 ', 'e2': 'growth of prostate cancer cells ', 'relation': 'may affect ', 'condition': 'via regulating TRAIL-induced apoptosis.'}]"
111,P125P10,"We have associated PCA3 with Gleason scores in large biopsy and RP cohorts from the Decipher GRID and found patients with high Gleason have lower PCA3 expression (42 - 45%). These results indicate that most patients with high Gleason would have been reported negative on diagnostic biopsy if PCA3 biomarkers was used for initial diagnosis. Moreover, in the prospective cohort from Decipher GRID (RP, biopsy) where metastatic outcome was not available, we found that low PCA3 was strongly associated with high risk Decipher scores and was a surrogate for metastasis. Additional analyses showed that genes negatively correlated with PCA3 are associated with migration pathways such as EMT. Based on expression correlation, PCAT- 14 was the top correlated genes. In a recent report, In- vitro analysis showed that low PCAT- 14 expression increased migration while overexpressing PCAT- 14 reduced cellular growth, migration, and invasion. These results suggest that patients with low PCA3 are at a significantly higher risk of developing metastasis after RP.","[{'e1': ' PCA3 ', 'e2': 'Gleason scores ', 'relation': 'is associated with', 'condition': 'in large biopsy and RP cohorts from the Decipher GRID'}, {'e1': ' low PCA3 ', 'e2': ' high risk Decipher scores', 'relation': 'was strongly associated with', 'condition': 'in the prospective cohort from Decipher GRID (RP, biopsy)'}, {'e1': 'patients with low PCA3 ', 'e2': 'metastasis ', 'relation': 'are at a significantly higher risk of developing ', 'condition': 'after RP.'}]"
112,P125P11,"Recent work proposed that targeting PCA3 may be a putative therapeutic option to inhibit PCa growth based on interfering siRNA in LNCaP and PC3 cells. These results are contradicting our observation possibly due the different nature of genomics of LNCaP cells and RP/biopsy tissues (used in this cohort) and different AR- activity in these specimens. We observed strong positive correlation between PCA3 and ABCC4, KLK2 and KLK3 that are AR target genes supporting the modulatory effect between AR and PCA3. Activated androgen receptor (AR) also strongly induces PCA3 transcription. We believe that the interaction between AR- axis induced by testosterone and PCA3 may significantly elucidate the functional impact of PCA3. Low pre- treatment free testosterone levels, are significantly associated with tumor grade and stage, with lower testosterone levels in patients with high grade PCa. Prostate cancer patients with lower circulating free testosterone levels also have poor prognosis factors and higher tumor burden prior to treatment. These findings reinforce the idea that low PCA3 levels in high grade PCa may reflect lower circulating androgen levels, leading to weaker AR activation and transcriptional activity. This suggests that PCA3 may act as a surrogate marker for serum testosterone.","[{'e1': 'Low pre- treatment free testosterone levels ', 'e2': 'tumor grade and stage', 'relation': 'are significantly associated with ', 'condition': ' in patients with high grade PCa'}, {'e1': 'Low pre- treatment free testosterone levels ', 'e2': ' lower testosterone levels', 'relation': 'are significantly associated with ', 'condition': ' in patients with high grade PCa'}]"
113,P125P14,"In conclusion, we report that high levels of PCA3 may be a poor predictor of high grade disease in the initial biopsy setting and low PCA3 expression in primary tumors may portend a poor prognosis. We observed a unique bimodal distribution for PCA3, where low levels of PCA3 were associated with high grade disease in urine, tissue biopsy, and tissue RP, and poor survival and increased rates of metastasis after RP. To our knowledge, this is the largest study characterizing the associations between PCA3 RNA from RP tissues with pathological variables at RP and clinical outcome. Results in this study suggest that sole use of PCA3 as a stand- alone marker for prostate cancer may provide false negatives for patients with higher grade disease and urologists should be warned of this limitation.","[{'e1': 'high levels of PCA3 ', 'e2': ' high grade disease ', 'relation': 'may be a poor predictor of', 'condition': 'in the initial biopsy setting'}, {'e1': ' low PCA3 expression ', 'e2': 'a poor prognosis', 'relation': 'may portend ', 'condition': ' in primary tumors'}]"
114,P125P2,"PCA3 has a bimodal distribution in both biopsy and radical prostatectomy (RP) tissues, where low PCA3 expression was significantly associated with high grade disease. PCA3 had a poor performance of predicting high grade disease in initial biopsy with 55% sensitivity and high false negative rates; 42% of high Gleason (≥8) samples had low PCA3. In RP, low PCA3 is associated with adverse pathological features, clinical recurrence outcome and greater probability of metastatic progression.","[{'e1': 'PCA3', 'e2': 'high grade disease ', 'relation': ' had a poor performance of predicting ', 'condition': 'in initial biopsy '}, {'e1': ' low PCA3 ', 'e2': 'adverse pathological features', 'relation': 'is associated with ', 'condition': ' In RP'}, {'e1': ' low PCA3 expression ', 'e2': 'high grade disease', 'relation': 'was significantly associated with ', 'condition': 'in both biopsy and radical prostatectomy (RP) tissues'}]"
115,P125P5,"Prostate cancer (PCa) accounts for approximately 23% of all male cancers, and 9% of all cancer deaths among men in Europe and in Northern America. Only a subset of these patients may harbor aggressive disease with potential recurrence after first- line treatment. To improve patient management, it is essential to use accurate, quantitative tools (i.e genomic biomarkers) to identify patients with aggressive disease. Several recent studies have demonstrated the utility of protein coding and non- coding genes as prognostic and diagnostic biomarkers. In particular, a number of long non- coding RNAs (IncRNAs) including Prostate cancer antigen 3 (PCA3), PCATs and SCHLAP1 have emerged as attractive diagnostic or prognostic biomarkers.","[{'e1': 'a subset of these patients ', 'e2': 'aggressive disease with potential recurrence ', 'relation': 'may harbor ', 'condition': 'after first- line treatment'}]"
116,P125P6,"PCA3 is over- expressed in 95% of prostate cancers, with up to 100- fold up- regulation compared to adjacent non- neoplastic cells. PCA3 is also over- expressed in high- grade prostatic intraepithelial neoplasia. In clinical practice, urine- based PCA3 testing has been shown to outperform the diagnostic ability of Prostate Specific Antigen (PSA) in men with a prior negative biopsy resulting in FDA approval for clinical use for this indication. Urinary PCA3 showed similar performance in initial biopsy setting. However, the diagnostic performance of PCA3 in initial biopsy setting has led to high rate of under- diagnosis of high grade disease where PCA3 had a sensitivity of 42% with a high false negative rate using a cut- off of 60. In 463 european men scheduled for repeat biopsy, 27 (21%) cancers with a Gleason score of 7- 9 would have been missed using a cut- off of 35. Similarly, PCA3 failed to predict high grade cancers with magnetic resonance imaging (MRI) suspicion score (mSS4- 5) in the initial biopsy. These studies illuminate the potential limitations of using urinary PCA3 as a diagnostic biomarker and suggest that some patients with low PCA3 may harbor aggressive disease at initial biopsy.","[{'e1': 'urine- based PCA3 testing ', 'e2': 'the diagnostic ability of Prostate Specific Antigen (PSA) ', 'relation': 'has been shown to outperform ', 'condition': 'in men with a prior negative biopsy '}]"
117,P125P8,"The clinical utility of the PCA3 has been established as an independent diagnostic biomarker to predict prostate cancer in initial and repeat biopsy setting, primarily through urine- based analyses. However, the performance of PCA3 in initial biopsy setting has been shown in several studies to be poor with high false negative rate and low sensitivity rate leading to underdiagnosis of high grade disease. Additionally, establishing the prognostic significance of the same assay has been challenging, in part due to small cohort sizes.","[{'e1': 'The clinical utility of the PCA3 ', 'e2': 'an independent diagnostic biomarker to predict prostate cancer ', 'relation': 'has been established as ', 'condition': 'in initial and repeat biopsy setting, primarily through urine- based analyses'}]"
